ICODE,CCODE,INAME,CQNTY,TPRICE
T-9361,0082,LINJARDY=M TAB.12.5/2.5/1G.,,50.00
T-9360,0385,PERIDOPA TAB.100/25/200MG.,,1579.05
T-9359,0162,I=PILL TAB.50MG.,2,435.00
T-9358,0208,NEBIX=V.TAB.5/80MG.,5,328.87
T-9357,0275,VMED TAB.5/160MG.,2,513.35
T-9356,0143,ACYLEX TAB.800MG.,0,538.79
T-9355,0210,OMSANA TAB.10MG.,1,367.15
T-9354,0424,ONATO-V TAB.10/160/12.5MG.,2,421.12
T-9353,0165,COMFORTA TAB.10MG.,1,378.45
T-9352,0210,TADALIS TAB=20MG.,6,217.50
T-9351,0385,ARBI=D.TAB.300/12.5MG.,,582.95
T-9350,0439,TRAMAL-PLUS FORTE TAB.,1,217.50
T-9349,0199,DANZ=N TAB.20MG.,1,478.50
T-9348,0167,DIAMPA=LXR TAB.10/5/1G.,2,317.55
T-9347,0424,VONOLIA TAB=20MG.,3,452.40
T-9346,0439,VOCINTI TAB.10MG.,0,414.13
T-9345,0439,BRIVAMARK TAB.50MG.,0,826.50
T-9344,0210,FENHIL TAB.10MG.,0,297.55
T-9343,0206,VELKER=PLUS TAB.5/160MG.,1,382.85
T-9342,0210,TADALIS TAB=10MG.,0,174.00
T-9341,0287,EMPAPHAGE=M.TAB.5/500MG.,1,281.02
T-9340,0206,VELKER=PLUS TAB.5/80MG.,2,313.25
T-9339,0208,VOPRASA TAB.20MG.,1,461.15
T-9338,0143,MONTEKAST TAB.10MG.,2,288.85
T-9337,0040,VORINAZ TAB.200MG.,0,1525.92
T-9336,0208,HINOCAM TAB.20MG.,1,301.89
T-9335,0008,GLYZIA MET-TAB.50/500MG.,0,452.45
T-9334,0170,AUGMENTEN=BD TAB.{2X6}.,18,637.62
T-9333,0287,DOWTOR TAB.10/160MG.,2,572.48
T-9332,0287,EMPAPHAGE TAB.25MG.,0,429.79
T-9331,0433,EYCITE TAB.,0,1184.25
T-9330,0251,SENALAX TAB.,0,1056.25
T-9329,0544,MECOGEN=SL TAB.,1,699.95
T-9328,0208,VYLINTA TAB.5MG.,1,292.32
T-9327,0385,X-PLENDED-EZ.5/10MG.,2,252.35
T-9325,0199,LUTIFEZ TAB.,1,1114.95
T-9324,0082,GABLIN CR.TAB=82.5MG.,2,478.50
T-9323,0143,BRONOCHOL LOZENGES.,0,1315.50
T-9322,0544,LAMITOR TAB.25MG.,1,464.23
T-9321,0082,BACTCID TAB.250MG.,0,196.80
T-9320,0332,REDUPRES=AM TAB.5/160MG.,0,491.55
T-9319,0208,MISAR=AMH.TAB.80/5/12.5MG.,2,523.75
T-9318,0332,BEMLETOL TAB.180MG.,0,391.50
T-9317,0332,BEPSAR PLUS TAB.,1,504.95
T-9316,0162,CARLEP TAB.400MG.,0,1044.00
T-9315,0385,EGLARO=S TAB.15/100MG.,3,687.31
T-9314,0167,FINONE TAB.10MG.,2,313.25
T-9313,0387,VOPZAN TAB.20MG.,3,487.25
T-9312,0387,VOPZAN TAB.10MG.,5,313.25
T-9311,0251,VONOCAB TAB.20MG.,0,696.00
